v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability,metagraph_x,metagraph_y
0,0,0,2,12,0101010101010101,0011001110111011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,0,3,0,0,1,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.425438,0.134135
0,0,0,2,12,0101010101010101,0011101100111011,0000111100001111,0000000011111111,1,-2,-2,-2,0,3,0,0,0,1,3,0,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,0.338004,0.308123
0,0,0,2,12,0101010101010101,0011001110110011,0000111100001111,0000100011111111,1,-1,-2,-1,0,3,0,-1,0,-1,3,1,0,1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.187265,0.010545
0,0,0,2,12,0101010101010101,0011001110110011,0000111100001111,0100000011111111,1,-1,-2,1,0,3,0,-1,0,-1,3,-1,0,1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.289353,0.083848
0,0,0,2,12,0101010101010101,0011001110110011,0010111100001111,0000000011111111,1,-1,-1,-2,0,3,1,0,0,-1,3,0,0,1,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.21199,0.354758
0,0,0,2,12,0101010101010101,0011101100110011,0000111100001111,0010000011111111,1,-1,-2,-1,0,3,0,1,0,1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.261361,-0.074632
0,0,0,2,12,0101010101010101,0011101100110011,0000111100001111,0100000011111111,1,-1,-2,1,0,3,0,-1,0,1,3,-1,0,-1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.110954,0.059217
0,0,0,2,12,0101010101010101,0011101100110011,0000111110001111,0000000011111111,1,-1,-1,-2,0,3,-1,0,0,1,3,0,0,-1,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,94,0.012629,0.616098
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0010000011111011,1,-2,-2,-2,0,3,0,1,0,0,3,-1,0,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.330001,0.14753
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000110011111111,1,-2,-2,0,0,3,0,-2,0,0,3,1,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.494725,-0.006256
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000100011101111,1,-2,-2,-2,0,3,0,-2,0,0,3,2,0,0,0,3,1.0,14,13500,0.033071891388307385,0.10000000000000002,115,-0.423086,0.228033
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0011000011111111,1,-2,-2,0,0,3,0,1,0,0,3,-2,0,0,0,3,1.0,14,13500,0.03347949724997541,0.11562500000000002,105,-0.344852,-0.028923
0,0,0,2,12,0101010101010101,0011001100110011,0000111100001111,0000000011111100,1,-2,-2,0,0,3,0,-2,0,0,3,-2,0,0,0,3,1.0,14,13500,0.0338821999318554,0.11041666666666668,106,-0.381767,-0.079604
0,0,0,2,12,0101010101010101,0011001100110011,0000111110001111,0000000011111110,1,-2,-1,-1,0,3,-1,-1,0,0,3,-1,0,0,1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.573868,0.73648
0,0,0,2,12,0101010101010101,0011001100110011,0010111100001111,0000000011111110,1,-2,-1,-1,0,3,1,-1,0,0,3,-1,0,0,-1,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,-0.419499,0.529066
0,0,0,2,12,0101010101010101,0011001110110011,0000111100001111,0000000011111110,1,-1,-2,-1,0,3,0,-1,0,-1,3,-1,0,1,0,3,1.0,14,225,0.027003086243366083,0.06666666666666667,95,0.191037,0.031035
