v_4,v_3,v_2,v_1,v_0,f_1,f_2,f_3,f_4,"w_1,1","w_1,2","w_1,3","w_1,4","w_2,1","w_2,2","w_2,3","w_2,4","w_3,1","w_3,2","w_3,3","w_3,4","w_4,1","w_4,2","w_4,3","w_4,4",CycleLenMSQ,NumAttractors,GenotypeCount,Robustness_std,Robustness_mean,Evolvability
1,0,0,0,0,0111000000010000,0101000011010100,0010111100000010,0101110101011101,1,2,-2,2,1,-1,1,-1,-3,-2,3,1,-1,1,-3,0,6.0,3,256,0.012757759076995718,0.041666666666666664,90
1,0,0,0,0,0111000000010000,0000000010000000,0010111100000010,0101110101011101,1,-3,-2,2,1,-3,1,-1,-3,-3,3,1,-1,1,-3,0,8.5,2,2304,0.01639887420752865,0.09085648148148147,115
1,0,0,0,0,0111000000010000,0011001110110011,0010111100000010,0101110101011101,1,-1,-2,2,1,3,1,-1,-3,-1,3,1,-1,1,-3,0,1.0,3,64,0.010416666666666666,0.03125,85
1,0,0,0,0,0111000000010000,0011001110110011,0010111110111111,0101110101011101,1,-1,-2,2,1,3,1,-1,-3,-1,3,1,-1,1,2,0,1.0,3,80,0.008462540004829126,0.03333333333333333,91
1,0,0,0,0,0111000000110000,0011001110110011,0010111110111111,0101110101011101,1,-1,-2,2,2,3,1,-1,-3,-1,3,1,-1,1,2,0,1.0,3,20,0.006669921080659218,0.028125,83
1,0,0,0,0,0111000000110000,0011001110110011,0010111110111111,0101110100000000,1,-1,-2,2,2,3,1,-1,-3,-1,3,1,-1,1,2,-3,2.0,3,5,0.004166666666666667,0.012499999999999999,83
1,0,0,0,0,0111000000110000,0011001110110011,0010111100101111,0101110100000000,1,-1,-2,2,2,3,1,-1,-3,-1,3,1,-1,1,0,-3,2.5,4,4,0.005208333333333333,0.015625,72
1,0,0,0,0,0111000000110000,0011001110110011,0010111100001010,0101110100000000,1,-1,-2,2,2,3,1,-1,-3,-1,3,1,-1,1,-2,-3,2.5,4,1,0.0,0.0,73
1,0,0,0,0,0111000000110000,0011001110110011,0010111100001010,0000110000000000,1,-1,-2,-2,2,3,1,-3,-3,-1,3,3,-1,1,-2,-3,1.6,5,20,0.009316949906249124,0.041666666666666664,89
1,0,0,0,0,0111000000110000,0011111110111111,0010111100001010,0000110000000000,1,-2,-2,-2,2,3,1,-3,-3,3,3,3,-1,1,-2,-3,1.0,4,120,0.011089388487966189,0.0625,103
1,0,0,0,0,0111000000110000,0011111110111111,0010111100001010,0000111100001100,1,-2,-2,0,2,3,1,-2,-3,3,3,3,-1,1,-2,-2,1.75,4,24,0.009509072178909133,0.03125,88
1,0,0,0,0,0111000000110000,0011111110111111,0010111110101111,0000111100001100,1,-2,-2,0,2,3,1,-2,-3,3,3,3,-1,1,1,-2,1.75,4,24,0.009509072178909133,0.03125,87
1,0,0,0,0,0111000000110000,0011111110111111,0010111110101111,0011111100001111,1,-2,-2,0,2,3,1,1,-3,3,3,2,-1,1,1,-1,1.75,4,24,0.007955860581520554,0.036458333333333336,86
1,0,0,0,0,0111000000110000,0011111110111111,0000111010001111,0011111100001111,1,-2,-2,0,2,3,-2,1,-3,3,3,2,-1,1,2,-1,1.75,4,96,0.007955860581520554,0.036458333333333336,96
1,0,0,0,0,0111000001110000,0011111110111111,0000111010001111,0011111100001111,1,-2,-2,0,1,3,-2,1,-3,3,3,2,0,1,2,-1,1.75,4,384,0.012028130608117202,0.052083333333333336,97
1,0,0,0,0,0111000001110000,0011111100000010,0000111010001111,0011111100001111,1,-1,-2,0,1,2,-2,1,-3,2,3,2,0,-3,2,-1,1.0,4,64,0.010416666666666666,0.03125,81
1,0,0,0,0,0111000001110000,0011111100000010,0000111110001111,0011111100001111,1,-1,-1,0,1,2,-1,1,-3,2,3,2,0,-3,1,-1,1.0,4,16,0.010416666666666666,0.03125,71
1,0,0,0,0,0111000001110000,0011111111111111,0000111110001111,0011111100001111,1,-2,-1,0,1,3,-1,1,-3,3,3,2,0,3,1,-1,1.75,4,576,0.01639887420752865,0.09085648148148147,107
1,0,0,0,0,0111000001110000,0000111111111111,0000111110001111,0011111100001111,1,-2,-1,0,1,0,-1,1,-3,3,3,2,0,3,1,-1,1.75,4,320,0.01920738428602685,0.07291666666666667,90
1,0,0,0,0,0111000001110000,0000000011111010,0000111110001111,0011111100001111,1,-2,-1,0,1,0,-1,1,-3,-2,3,2,0,3,1,-1,1.75,4,64,0.012757759076995718,0.041666666666666664,74
1,0,0,0,0,0111000001110000,0000000011111010,0000111110001111,0000111100001111,1,-2,-1,-2,1,0,-1,0,-3,-2,3,3,0,3,1,0,1.0,3,240,0.02236553182664988,0.059375000000000004,85
1,0,0,0,0,0101000001010000,0000000011111010,0000111110001111,0000111100001111,1,-2,-1,-2,0,0,-1,0,-3,-2,3,3,0,3,1,0,1.0,3,900,0.024101324498719826,0.07708333333333334,95
1,0,0,0,0,0101000001010000,0000000011111010,0000111110001111,0100111100001111,1,-2,-1,1,0,0,-1,-1,-3,-2,3,3,0,3,1,-1,3.6666666666666665,3,60,0.014706818461491229,0.043750000000000004,84
1,0,0,0,0,0101000001010000,0000000010100000,0000111110001111,0100111100001111,1,-3,-1,1,0,-2,-1,-1,-3,-3,3,3,0,3,1,-1,2.0,3,300,0.01577474540500076,0.075,99
1,0,0,0,0,0101010101010000,0000000010100000,0000111110001111,0100111100001111,2,-3,-1,1,0,-2,-1,-1,-1,-3,3,3,-1,3,1,-1,2.0,3,80,0.011876827344782688,0.052083333333333336,89
1,0,0,0,0,0101010100000000,0000000010100000,0000111110001111,0100111100001111,1,-3,-1,1,0,-2,-1,-1,0,-3,3,3,-3,3,1,-1,1.0,2,300,0.01577474540500076,0.075,99
1,0,0,0,0,0101110100000100,0000000010100000,0000111110001111,0100111100001111,2,-3,-1,1,-1,-2,-1,-1,1,-3,3,3,-2,3,1,-1,1.0,3,80,0.011876827344782688,0.052083333333333336,93
1,0,0,0,0,0101110100000100,0000000010100000,0000111110001111,0100110100001100,2,-3,-1,1,-1,-2,-1,-3,1,-3,3,3,-2,3,1,-2,1.0,3,320,0.013975424859373685,0.0625,98
1,0,0,0,0,0101110100000100,0000000011101000,0000111110001111,0100110100001100,2,-2,-1,1,-1,-2,-1,-3,1,-2,3,3,-2,3,1,-2,1.0,2,80,0.014583333333333332,0.03333333333333333,97
1,0,0,0,0,0101110100000100,0010000011111011,0000111110001111,0100110100001100,2,-2,-1,1,-1,1,-1,-3,1,-1,3,3,-2,3,1,-2,1.0,3,64,0.010416666666666666,0.020833333333333332,92
1,0,0,0,0,0101110101001101,0010000011111011,0000111110001111,0100110100001100,3,-2,-1,1,-2,1,-1,-3,2,-1,3,3,-1,3,1,-2,3.0,4,16,0.007365695637359871,0.010416666666666666,88
1,0,0,0,0,0101110101001101,0010111111111111,0000111110001111,0100110100001100,3,-2,-1,1,-2,1,-1,-3,2,3,3,3,-1,3,1,-2,3.2,5,24,0.009509072178909133,0.03125,92
1,0,0,0,0,0101110101001101,0010111111111111,0000111110001111,0100110111011111,3,-2,-1,1,-2,1,-1,-3,2,3,3,3,-1,3,1,3,1.0,5,96,0.016943768486061748,0.049479166666666664,103
1,0,0,0,0,0101000001000000,0010111111111111,0000111110001111,0100110111011111,2,-2,-1,1,-1,1,-1,-3,-3,3,3,3,-1,3,1,3,1.0,4,480,0.01744856445729477,0.06197916666666667,110
1,0,0,0,0,0101000011010000,0010111111111111,0000111110001111,0100110111011111,2,-2,-1,1,-1,1,-1,-3,-3,3,3,3,1,3,1,3,1.0,5,96,0.016943768486061748,0.049479166666666664,102
1,0,0,0,0,0101000011010000,0010111110111111,0000111110001111,0100110111011111,2,-2,-1,1,-1,1,-1,-3,-3,3,3,3,1,2,1,3,1.0,6,80,0.016379359576579572,0.04114583333333333,99
1,0,0,0,0,0101000011010000,0010111110111111,0000111111101111,0100110111011111,2,-2,-1,1,-1,1,-1,-3,-3,3,3,3,1,2,2,3,1.0,5,80,0.016379359576579572,0.04114583333333333,100
1,0,0,0,0,0101000011010000,0010111110111111,0000111100001110,0100110111011111,2,-2,-1,1,-1,1,-1,-3,-3,3,3,3,1,2,-1,3,1.0,6,80,0.016379359576579572,0.04114583333333333,100
1,0,0,0,0,0101000011010000,0000111010001111,0000111100001110,0100110111011111,2,-2,-1,1,-1,-2,-1,-3,-3,3,3,3,1,2,-1,3,1.0,4,64,0.01584052742265161,0.028645833333333332,99
1,0,0,0,0,0101000011010000,0000111010001111,0000111000001010,0100110111011111,2,-2,-2,1,-1,-2,-1,-3,-3,3,3,3,1,2,-1,3,1.0,4,64,0.01584052742265161,0.028645833333333332,100
